kStretchTreeDepth	LongLivedTreeDepth	kArraySize	kMinTreeDepth	kMaxTreeDepth	GC Itertations	Heap Size	Time Elapsed
19	19	500000	4	16	102	77783040	1510
19	19	500000	4	16	101	94560256	1467
19	19	500000	4	16	101	94560256	1481
19	19	500000	4	16	101	86171648	1527
19	19	500000	4	16	102	77783040	1456
19	19	500000	4	16	101	94560256	1471
19	19	500000	4	16	101	86171648	1493
19	19	500000	4	16	101	94560256	1501
19	19	500000	4	16	101	94560256	1443
19	19	500000	4	16	101	86171648	1489
19	19	500000	4	16	101	94560256	1485
19	19	500000	4	16	102	86171648	1515
19	19	500000	4	16	101	94560256	1496
19	19	500000	4	16	101	77783040	1501
19	19	500000	4	16	101	86171648	1444
19	19	500000	4	16	101	86171648	1487
19	19	500000	4	16	101	86171648	1500
20	16	500000	4	16	847	77783040	4253
20	16	500000	4	16	854	77783040	4172
20	16	500000	4	16	850	77783040	4304
20	16	500000	4	16	857	77783040	4146
20	16	500000	4	16	856	77783040	4112
20	16	500000	4	16	863	77783040	4265
20	16	500000	4	16	849	77783040	4210
20	16	500000	4	16	853	77783040	4185
20	16	500000	4	16	858	77783040	4245
20	16	500000	4	16	857	77783040	4148
20	16	500000	4	16	852	77783040	4268
20	16	500000	4	16	851	77783040	4280
20	16	500000	4	16	850	77783040	4303
20	16	500000	4	16	856	77783040	4201
20	16	500000	4	16	854	77783040	4250
20	16	500000	4	16	855	77783040	4286
20	16	500000	4	16	861	77783040	4138
20	16	500000	4	16	850	77783040	4118
20	16	500000	4	16	855	77783040	4222
20	16	500000	4	16	854	77783040	4218
20	16	500000	4	16	854	77783040	4131
20	16	500000	4	16	853	77783040	4261
20	16	500000	4	16	860	77783040	4300
20	16	500000	4	16	849	77783040	4138
20	16	500000	4	16	851	77783040	4233
20	16	500000	4	16	857	77783040	4240
20	16	500000	4	16	856	77783040	4147
20	16	500000	4	16	857	77783040	4128
20	16	500000	4	16	855	77783040	4142
20	16	500000	4	16	852	77783040	4147
20	17	500000	4	16	521	77783040	3556
20	17	500000	4	16	519	77783040	3320
20	17	500000	4	16	524	77783040	3438
20	17	500000	4	16	519	77783040	3474
20	17	500000	4	16	520	77783040	3433
20	17	500000	4	16	523	77783040	3499
20	17	500000	4	16	521	77783040	3453
20	17	500000	4	16	523	77783040	3440
20	17	500000	4	16	521	77783040	3472
20	17	500000	4	16	520	77783040	3402
20	17	500000	4	16	519	77783040	3414
20	17	500000	4	16	519	77783040	3359
20	17	500000	4	16	522	77783040	3437
20	17	500000	4	16	526	77783040	3327
20	17	500000	4	16	521	77783040	3504
20	17	500000	4	16	517	77783040	3283
20	17	500000	4	16	522	77783040	3294
20	17	500000	4	16	523	77783040	3447
20	17	500000	4	16	518	77783040	3303
20	17	500000	4	16	523	77783040	3281
20	17	500000	4	16	518	77783040	3330
20	17	500000	4	16	521	77783040	3472
20	17	500000	4	16	519	77783040	3455
20	17	500000	4	16	520	77783040	3427
20	17	500000	4	16	521	77783040	3307
20	17	500000	4	16	520	77783040	3481
20	17	500000	4	16	520	77783040	3438
20	17	500000	4	16	524	77783040	3526
20	17	500000	4	16	524	77783040	3483
20	17	500000	4	16	521	77783040	3458
20	18	500000	4	16	301	77783040	3148
20	18	500000	4	16	299	77783040	3206
20	18	500000	4	16	299	77783040	3338
20	18	500000	4	16	299	77783040	3368
20	18	500000	4	16	300	77783040	3240
20	18	500000	4	16	301	77783040	3355
20	18	500000	4	16	297	77783040	3085
20	18	500000	4	16	300	77783040	3210
20	18	500000	4	16	299	77783040	3279
20	18	500000	4	16	300	77783040	3141
20	18	500000	4	16	300	77783040	3277
20	18	500000	4	16	299	77783040	3310
20	18	500000	4	16	301	77783040	3218
20	18	500000	4	16	300	77783040	3203
20	18	500000	4	16	300	77783040	3288
20	18	500000	4	16	300	77783040	3322
20	18	500000	4	16	299	77783040	3360
20	18	500000	4	16	299	77783040	3227
20	18	500000	4	16	301	77783040	3225
20	18	500000	4	16	302	77783040	3433
20	18	500000	4	16	299	77783040	3334
20	18	500000	4	16	301	77783040	3320
20	18	500000	4	16	300	77783040	3300
20	18	500000	4	16	300	77783040	3329
20	18	500000	4	16	300	77783040	3219
20	18	500000	4	16	300	77783040	3292
20	18	500000	4	16	297	77783040	3256
20	18	500000	4	16	301	77783040	3341
20	18	500000	4	16	300	77783040	3202
20	18	500000	4	16	299	77783040	3304
20	19	500000	4	16	174	94560256	2317
20	19	500000	4	16	174	94560256	2255
20	19	500000	4	16	174	94560256	2339
20	19	500000	4	16	174	94560256	2333
20	19	500000	4	16	174	94560256	2320
20	19	500000	4	16	174	94560256	2242
20	19	500000	4	16	174	94560256	2309
20	19	500000	4	16	174	94560256	2325
20	19	500000	4	16	174	94560256	2322
20	19	500000	4	16	174	94560256	2231
20	19	500000	4	16	174	94560256	2256
20	19	500000	4	16	174	94560256	2320
20	19	500000	4	16	174	94560256	2263
20	19	500000	4	16	174	94560256	2335
20	19	500000	4	16	174	94560256	2353
20	19	500000	4	16	174	94560256	2338
20	19	500000	4	16	174	94560256	2352
20	19	500000	4	16	174	94560256	2336
20	19	500000	4	16	174	94560256	2597
20	19	500000	4	16	174	94560256	2574
20	19	500000	4	16	174	94560256	2545
20	19	500000	4	16	174	94560256	2331
20	19	500000	4	16	174	94560256	2261
20	19	500000	4	16	174	94560256	2282
20	19	500000	4	16	174	94560256	2271
20	19	500000	4	16	174	94560256	2332
20	19	500000	4	16	174	94560256	2341
20	19	500000	4	16	174	94560256	2320
20	19	500000	4	16	174	94560256	2234
20	19	500000	4	16	174	94560256	2329
21	16	500000	4	16	1658	178446336	10445
21	16	500000	4	16	1635	178446336	10561
21	16	500000	4	16	1646	178446336	10499
21	16	500000	4	16	1635	178446336	10222
21	16	500000	4	16	1630	178446336	10422
21	16	500000	4	16	1644	178446336	10235
21	16	500000	4	16	1647	178446336	10513
21	16	500000	4	16	1628	178446336	10347
21	16	500000	4	16	1644	178446336	10154
21	16	500000	4	16	1642	178446336	10548
21	16	500000	4	16	1640	178446336	9972
21	16	500000	4	16	1626	178446336	10284
21	16	500000	4	16	1640	178446336	10099
21	16	500000	4	16	1638	178446336	10574
21	16	500000	4	16	1642	178446336	10408
21	16	500000	4	16	1640	178446336	10421
21	16	500000	4	16	1636	178446336	9958
21	16	500000	4	16	1632	178446336	10393
21	16	500000	4	16	1643	178446336	10486
21	16	500000	4	16	1631	178446336	10418
21	16	500000	4	16	1645	178446336	10110
21	16	500000	4	16	1644	178446336	10557
21	16	500000	4	16	1644	178446336	10051
21	16	500000	4	16	1643	178446336	10177
21	16	500000	4	16	1639	178446336	10309
21	16	500000	4	16	1644	178446336	10606
21	16	500000	4	16	1640	178446336	10070
21	16	500000	4	16	1636	178446336	10093
21	16	500000	4	16	1638	178446336	10473
21	16	500000	4	16	1635	178446336	10561
21	17	500000	4	16	997	186834944	9140
21	17	500000	4	16	1002	186834944	9575
21	17	500000	4	16	993	186834944	9664
21	17	500000	4	16	999	186834944	9145
21	17	500000	4	16	997	186834944	9249
21	17	500000	4	16	997	186834944	9181
21	17	500000	4	16	1000	186834944	9266
21	17	500000	4	16	996	186834944	9201
21	17	500000	4	16	997	186834944	9232
21	17	500000	4	16	993	186834944	9175
21	17	500000	4	16	996	186834944	9265
21	17	500000	4	16	994	186834944	9202
21	17	500000	4	16	1000	186834944	9141
21	17	500000	4	16	996	186834944	9304
21	17	500000	4	16	1000	186834944	9175
21	17	500000	4	16	993	186834944	9301
21	17	500000	4	16	1000	186834944	9193
21	17	500000	4	16	996	186834944	9186
21	17	500000	4	16	999	186834944	9185
21	17	500000	4	16	995	186834944	9200
21	17	500000	4	16	998	186834944	9197
21	17	500000	4	16	997	186834944	9233
21	17	500000	4	16	1004	186834944	9185
21	17	500000	4	16	1003	186834944	9086
21	17	500000	4	16	1003	186834944	9129
21	17	500000	4	16	1000	186834944	9157
21	17	500000	4	16	995	186834944	9147
21	17	500000	4	16	998	186834944	9261
21	17	500000	4	16	996	186834944	9175
21	17	500000	4	16	999	186834944	9282
21	18	500000	4	16	567	195223552	8142
21	18	500000	4	16	566	195223552	8333
21	18	500000	4	16	569	195223552	8249
21	18	500000	4	16	569	195223552	8141
21	18	500000	4	16	568	195223552	8140
21	18	500000	4	16	565	195223552	8207
21	18	500000	4	16	568	195223552	8312
21	18	500000	4	16	567	195223552	8174
21	18	500000	4	16	565	195223552	8207
21	18	500000	4	16	570	195223552	8275
21	18	500000	4	16	569	195223552	8217
21	18	500000	4	16	566	195223552	8001
21	18	500000	4	16	566	195223552	8334
21	18	500000	4	16	567	195223552	8615
21	18	500000	4	16	569	195223552	8481
21	18	500000	4	16	567	195223552	8346
21	18	500000	4	16	568	195223552	8192
21	18	500000	4	16	571	195223552	7890
21	18	500000	4	16	570	195223552	8091
21	18	500000	4	16	571	195223552	8272
21	18	500000	4	16	565	195223552	8042
21	18	500000	4	16	567	195223552	7958
21	18	500000	4	16	568	195223552	8474
21	18	500000	4	16	565	195223552	8194
21	18	500000	4	16	569	195223552	8214
