kStretchTreeDepth	LongLivedTreeDepth	kArraySize	kMinTreeDepth	kMaxTreeDepth	GC Itertations	Heap Size	Time Elapsed
20	16	500000	4	16	843	77783040	4320
20	16	500000	4	16	848	77783040	4273
20	16	500000	4	16	857	77783040	4289
20	16	500000	4	16	848	77783040	4281
20	16	500000	4	16	850	77783040	4330
20	16	500000	4	16	858	77783040	4278
20	16	500000	4	16	852	77783040	4298
20	16	500000	4	16	852	77783040	4342
20	16	500000	4	16	850	77783040	4350
20	16	500000	4	16	853	77783040	4345
20	17	500000	4	16	524	77783040	3463
20	17	500000	4	16	525	77783040	3436
20	17	500000	4	16	521	77783040	3459
20	17	500000	4	16	524	77783040	3511
20	17	500000	4	16	521	77783040	3419
20	17	500000	4	16	523	77783040	3440
20	17	500000	4	16	522	77783040	3489
20	17	500000	4	16	520	77783040	3448
20	17	500000	4	16	521	77783040	3453
20	17	500000	4	16	520	77783040	3438
20	17	500000	4	16	521	77783040	3487
20	17	500000	4	16	520	77783040	3565
20	17	500000	4	16	521	77783040	3437
20	17	500000	4	16	524	77783040	3467
20	17	500000	4	16	521	77783040	3525
20	17	500000	4	16	519	77783040	3527
20	17	500000	4	16	520	77783040	3447
20	17	500000	4	16	521	77783040	3484
20	17	500000	4	16	523	77783040	3423
20	17	500000	4	16	523	77783040	3448
20	17	500000	4	16	520	77783040	3441
20	17	500000	4	16	519	77783040	3481
20	17	500000	4	16	517	77783040	3506
20	17	500000	4	16	519	77783040	3498
20	17	500000	4	16	524	77783040	3434
20	17	500000	4	16	523	77783040	3379
20	17	500000	4	16	523	77783040	3400
20	17	500000	4	16	520	77783040	3466
20	17	500000	4	16	519	77783040	3488
20	17	500000	4	16	523	77783040	3447
20	18	500000	4	16	298	77783040	3305
20	18	500000	4	16	300	77783040	3302
20	18	500000	4	16	298	77783040	3269
20	18	500000	4	16	300	77783040	3362
20	18	500000	4	16	300	77783040	3274
20	18	500000	4	16	300	77783040	3219
20	18	500000	4	16	299	77783040	3167
20	18	500000	4	16	300	77783040	3177
20	18	500000	4	16	300	77783040	3308
20	18	500000	4	16	298	77783040	3313
20	18	500000	4	16	299	77783040	3158
20	18	500000	4	16	299	77783040	3308
20	18	500000	4	16	299	77783040	3288
20	18	500000	4	16	299	77783040	3346
20	18	500000	4	16	301	77783040	3338
20	18	500000	4	16	298	86171648	3242
20	18	500000	4	16	300	77783040	3271
20	18	500000	4	16	299	77783040	3284
20	18	500000	4	16	298	77783040	3219
20	18	500000	4	16	298	77783040	3217
20	18	500000	4	16	299	77783040	3306
20	18	500000	4	16	298	77783040	3346
20	18	500000	4	16	301	77783040	3199
20	18	500000	4	16	299	77783040	3414
20	18	500000	4	16	300	77783040	3316
20	18	500000	4	16	300	77783040	3270
20	18	500000	4	16	301	77783040	3293
20	18	500000	4	16	300	77783040	3324
20	18	500000	4	16	299	77783040	3300
20	18	500000	4	16	299	77783040	3243
20	19	500000	4	16	174	94560256	2331
20	19	500000	4	16	174	94560256	2258
20	19	500000	4	16	174	94560256	2258
20	19	500000	4	16	174	94560256	2255
20	19	500000	4	16	174	94560256	2325
20	19	500000	4	16	174	94560256	2300
20	19	500000	4	16	174	94560256	2397
20	19	500000	4	16	174	94560256	2471
20	19	500000	4	16	174	94560256	2348
20	19	500000	4	16	174	94560256	2364
20	19	500000	4	16	174	94560256	2500
20	19	500000	4	16	174	94560256	2357
20	19	500000	4	16	174	94560256	2265
20	19	500000	4	16	174	94560256	2262
20	19	500000	4	16	174	94560256	2341
20	19	500000	4	16	174	94560256	2337
20	19	500000	4	16	174	94560256	2271
20	19	500000	4	16	174	94560256	2290
20	19	500000	4	16	174	94560256	2345
20	19	500000	4	16	174	94560256	2364
20	19	500000	4	16	174	94560256	2350
20	19	500000	4	16	174	94560256	2324
20	19	500000	4	16	174	94560256	2265
20	19	500000	4	16	174	94560256	2336
20	19	500000	4	16	174	94560256	2357
20	19	500000	4	16	174	94560256	2340
20	19	500000	4	16	174	94560256	2337
20	19	500000	4	16	174	94560256	2351
20	19	500000	4	16	174	94560256	2350
20	19	500000	4	16	174	94560256	2334
21	16	500000	4	16	1636	178446336	10475
21	16	500000	4	16	1640	178446336	10597
21	16	500000	4	16	1646	178446336	10513
